,totalLatency,totalLatency
57,-0.354465227,2.912913978
58,0.610284546,2.861239791
59,0.648230191,2.806908202
60,0.606065609,2.07896471
61,-0.354465227,2.403580141
62,0.610284546,2.343640172
63,0.648230191,2.306961989
64,0.606065609,1.42754482
65,-0.354465227,1.821293128
66,0.648304856,1.783974731
67,0.648230191,1.740504754
68,0.606065609,1.508942246
69,-0.354465227,1.869765949
70,0.648304856,1.827060747
71,0.648230191,1.791161954
72,0.606065609,1.387154162
73,-0.354465227,1.758125734
74,0.648304856,1.736985981
75,0.648230191,1.706616724
76,0.603605406,1.308061981
77,0.631973639,2.242411458
78,0.646031732,1.708635843
79,0.607607716,1.609471321
80,0.603605406,1.335998893
81,0.631973639,2.262121141
82,0.646031732,1.693985498
83,0.607607716,1.599019003
84,0.603605406,1.270382357
85,0.631973639,2.161821389
86,0.607682382,1.487710595
87,0.607607716,1.39718622
88,0.603605406,1.286261201
89,0.631973639,2.170958662
90,0.607682382,1.532815015
91,0.607607716,1.438920963
92,0.603605406,1.285563576
93,0.632835465,1.603729188
94,0.648019738,1.968104529
95,0.607607716,1.519323552
96,0.603605406,1.292858994
97,0.632835465,1.626247895
98,0.648019738,1.993085706
99,0.607607716,1.544046819
100,0.603605406,1.273435831
101,0.632835465,1.66035167
102,0.646031732,1.636356044
103,0.607607716,1.524896312
104,0.603605406,1.27664808
105,0.632835465,1.683043957
106,0.646031732,1.670557249
107,0.607607716,1.534821332
108,0.603605406,1.318257463
109,0.632835465,1.703431094
110,0.646031732,1.688530278
111,0.607607716,1.56624279
112,0.603605406,1.263828528
113,0.632835465,1.648767889
114,0.607682382,1.538338089
115,0.607607716,1.440308332
116,0.603605406,1.282367063
117,0.632835465,1.579634416
118,0.607682382,1.485491693
119,0.607607716,1.389753437
120,0.603605406,1.345060444
121,0.632835465,1.657481027
122,0.607682382,1.565027344
123,0.607607716,1.473947537
124,0.603605406,1.282113123
125,-0.395087701,1.478336024
126,0.648019738,1.861376739
127,0.607607716,1.402705741
128,0.603605406,1.295937765
129,-0.395087701,1.489835072
130,0.648019738,1.870502162
131,0.607607716,1.410072625
132,0.603605406,1.275053549
133,-0.395087701,1.471705866
134,0.646031732,1.5490291
135,0.607607716,1.448517656
136,0.603605406,1.266665745
137,-0.395087701,1.459355545
138,0.646031732,1.487610984
139,0.607607716,1.39302882
140,0.603605406,1.297519052
141,-0.395087701,1.490485239
142,0.646031732,1.514367652
143,0.607607716,1.427772164
144,0.603605406,1.27224865
145,-0.395087701,1.466275668
146,0.607682382,1.393974268
147,0.607607716,1.286037481
148,0.603605406,1.271156001
149,-0.395087701,1.466063082
150,0.607682382,1.38046447
151,0.607607716,1.284950316
0,0.606065609,2.317986548
1,0.597088279,2.618515778
2,0.610284546,2.469788516
3,0.648230191,2.457056463
4,0.606065609,1.372319829
5,0.597088279,1.63869462
6,0.610284546,1.514824569
7,0.648230191,1.493379509
8,0.606065609,1.474854314
9,0.597088279,1.758666694
